model,rmse,year,predictions_str
LinearRegression,1.206819316706741,1994,"5.283875208284225,5.443207228776491,5.443207228776491,1.6001483269678234,1.0870166963112766,5.443207228776491,2.5449852134525797,1.0152207207619908,0.8532303138250872,2.6760018592315986,2.480518208556056,2.2648154354395,2.480518208556056,1.930001195984886,3.7518081150438354,1.5879654090494588,0.7503140547267013,1.253151169594845,1.069634717172275,0.0734640283366601,1.575481541756309,-1.0875016900701615,0.9488628916722714,0.8842763647518594,0.5698958099014977,3.415881712448169,0.7802272807271979,2.0624790830492756,0.5698958099014977,3.415881712448169,2.892069132253221,-0.6875842090947857,0.42000134595546124,0.5969265479700203,0.041152426973785516,0.14761616555050683,2.0890651347824103,0.5790951332553018,1.5255155822016542,-1.0460017080594755,0.42000134595546124,0.14761616555050683,0.5790951332553018,2.0624790830492756,-0.7896857974489238,-0.014456794898856762,1.4726754718672195,0.9488628916722714,0.3900013438092611,-1.3080000543272927,1.3458043679715284,-0.5011976633777726,0.06761448331752895,1.0870166963112766,1.3273033068086915,0.3957944004981242,0.022614916817175645,1.934422420218409,-1.0460017080594755,-0.19050962619426492,0.14761616555050683,0.19000234089635049,0.28984427999694873,1.8639302461037053,0.12685196700539692,0.10500417242173499,0.10500417242173499,-0.6539077383322236,0.10500417242173499,1.879178350292098,-0.007208893437087305,-0.3046270006993983,0.4373822417344986,0.5969265479700203,0.9467750193962785,0.7958254454771783,-1.3440530878794785,0.10500417242173499,0.9615989515459962,1.575481541756309,0.9458732782598973,1.7587822745134867,1.7587822745134867,-1.415769466476445,1.8739462842162022,1.8639302461037053,1.10290771345025,2.7876004765291276,-0.6875842090947857,1.10290771345025,1.2683992737832375,0.6125247127200006,1.4726754718672195,0.5969265479700203,-0.6906777741576775,0.9488628916722714,1.2975253541416625,0.7802272807271979,1.9314624372702567,1.879178350292098,0.3957944004981242,-0.3679973414346258,1.9314624372702567,-1.069207110305208,0.7714657029966374,1.575481541756309,-1.069207110305208,0.3957944004981242,1.7587822745134867,0.08871213252505261,0.6689543415814871,0.723813431159906,0.9615989515459962,-0.08868505615058142,1.0073551483411212,1.2975253541416625,1.650188606534572,2.1285500329304563,0.3957944004981242,2.1737562137502393,0.0500008594126482"
RidgeRegression,1.155267065593321,1994,"5.044474344510198,5.309568459311076,5.309568459311076,1.4319749514149376,1.0466287193050983,5.309568459311076,2.219384698171998,0.8241747675163427,0.3447889105464255,2.3289754138804457,2.3943249904963926,2.1156822599083824,2.3943249904963926,1.9256591558759126,3.560514519705066,1.7433938601026757,0.8557698639386613,1.553370756070206,1.2099134468475432,0.4834814641329544,1.4567552946606404,-0.7353238580192918,0.7770666219239997,0.9069948857962267,0.5733514387705532,3.3189071031572492,0.8612225868106553,2.002278637075433,0.5733514387705532,3.3189071031572492,2.8088582440603083,-0.200206821317308,0.4943941184074066,0.6151532547388641,0.1029150122862233,0.19263621375298806,1.5100687450296095,0.63293533479518,1.6641959095553138,-0.8746496275834308,0.4943941184074066,0.19263621375298806,0.63293533479518,2.002278637075433,-0.6037328157795105,0.07701151462712913,1.2871154810209406,0.7770666219239997,0.46615647615774086,-1.037363149495457,1.3609664728664597,-0.3846461434833412,0.35056238756800223,1.0466287193050983,1.2625255056902394,0.38686600272338884,0.12540271561359978,1.8794162800074143,-0.8746496275834308,0.0361882881874383,0.19263621375298806,0.20235627374233484,0.386996142061977,2.080981879090094,0.2423774647095252,0.14776597183670953,0.14776597183670953,-0.5024771695686954,0.14776597183670953,1.7562093050036414,0.28225762025922957,-0.19792165633266684,0.49469367469682185,0.6151532547388641,0.9441055081770271,0.9148270812152339,-1.0675007492442012,0.14776597183670953,0.977618243809725,1.4567552946606404,0.9019606120649613,1.7028246267324316,1.7028246267324316,-1.0187809147122504,1.9206887553796541,2.080981879090094,1.142984193892121,2.6224821031732795,-0.200206821317308,1.142984193892121,1.2285981819837533,0.6687577491434429,1.2871154810209406,0.6151532547388641,-0.4486556271430712,0.7770666219239997,1.219225660357542,0.8612225868106553,1.8926879213669852,1.7562093050036414,0.38686600272338884,-0.1668940200616053,1.8926879213669852,-0.8124002232423964,0.6416092778401496,1.4567552946606404,-0.8124002232423964,0.38686600272338884,1.7028246267324316,0.15870889004650174,0.988678073060753,0.7402126903800188,0.977618243809725,0.02325154596265172,0.9442924893977458,1.219225660357542,1.5909329170490745,1.8469559138612512,0.38686600272338884,2.108224645552106,0.08800447372274217"
lassoRegression,1.000919354876627,1994,"4.402703316125818,4.402703316125818,4.402703316125818,0.8311145050301065,0.8311145050301065,4.402703316125818,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,1.795968004394384,1.795968004394384,1.795968004394384,0.8311145050301065,3.437849816761541,1.795968004394384,0.7232544775005694,0.8311145050301065,0.8311145050301065,0.7232544775005694,0.8311145050301065,0.8311145050301065,0.7232544775005694,0.8311145050301065,0.8311145050301065,3.437849816761541,0.8311145050301065,0.8311145050301065,0.8311145050301065,3.437849816761541,3.329989789232004,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.7232544775005694,0.8311145050301065,0.7232544775005694,1.0009500291196567,0.7232544775005694,0.8311145050301065,0.7232544775005694,0.7232544775005694,0.8311145050301065,0.7232544775005694,0.8311145050301065,0.8311145050301065,0.7232544775005694,0.8311145050301065,0.8311145050301065,1.795968004394384,0.7232544775005694,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.7232544775005694,0.8311145050301065,1.0009500291196567,0.7232544775005694,0.8311145050301065,0.7232544775005694,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.7232544775005694,0.8311145050301065,0.8311145050301065,0.8311145050301065,1.795968004394384,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.7232544775005694,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.7232544775005694,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.7232544775005694,0.8311145050301065,0.7232544775005694,1.795968004394384,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.8311145050301065,0.7232544775005694,0.8311145050301065,0.7232544775005694"
DecisionTreeRegressor,1.0367577776142463,1994,"15.580000400543213,5.957499876618385,5.957499876618385,0.6702262425281074,0.6702262425281074,5.957499876618385,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,1.2933333546475128,1.2933333546475128,1.2933333546475128,0.6702262425281074,2.481250033527613,1.2933333546475128,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.12999999523162842,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.12999999523162842,2.481250033527613,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,1.9699999690055847,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,1.2933333546475128,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,1.9699999690055847,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,3.516666700442632,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,1.2933333546475128,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,1.2933333546475128,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074,0.6702262425281074"
GBTRegressor,1.0090281486927422,1994,"15.58200490330176,6.15576059700414,6.15576059700414,0.705272992162542,1.1412509307395007,6.15576059700414,0.705272992162542,0.45031249206220103,0.3092426049325035,0.705272992162542,2.1139556064895757,1.2121897324887225,2.1139556064895757,1.1303438431736468,2.601155300334713,1.5103709404424897,0.7705176991070667,1.3244210382342665,0.705272992162542,1.0992137438099123,1.0623669991399034,0.4339319841111282,0.24134283520281452,0.6011689792693945,0.6011689792693945,0.1440908568902515,0.654851371331485,0.705272992162542,0.6011689792693945,0.1440908568902515,1.6761474915333396,0.5050384662752357,0.6011689792693945,0.44764538974846785,0.4111155739386376,0.43943556556870256,0.6011689792693945,0.46682854214023706,1.7337057105886056,0.16887161597220715,0.6011689792693945,0.43943556556870256,0.46682854214023706,0.705272992162542,0.24134283520281452,0.3756622414151327,0.6011689792693945,0.24134283520281452,0.6011689792693945,0.6011689792693945,0.9851232020909211,0.24134283520281452,0.6328017729319346,1.1412509307395007,0.6011689792693945,0.3363477288504832,0.6011689792693945,1.6459822056465305,0.16887161597220715,0.2978324846922186,0.43943556556870256,0.4339319841111282,0.44764538974846785,1.1303438431736468,0.3625386049939359,0.574773892252886,0.574773892252886,0.5749979701488311,0.574773892252886,0.4980670105795249,0.5050384662752357,0.3997822434663272,0.5286977600387871,0.44764538974846785,3.5608989680625216,0.8993501872231618,0.34453497063055627,0.574773892252886,0.6011689792693945,1.0623669991399034,0.6011689792693945,0.705272992162542,0.705272992162542,0.39435732290962966,1.1476981748674437,1.1303438431736468,0.705272992162542,0.8779555625907544,0.5050384662752357,0.705272992162542,1.0623669991399034,0.4980670105795249,0.6011689792693945,0.44764538974846785,0.44764538974846785,0.24134283520281452,0.5623412699713972,0.654851371331485,0.705272992162542,0.4980670105795249,0.3363477288504832,0.4980670105795249,0.705272992162542,0.3229202356915261,0.3462084791690534,1.0623669991399034,0.3229202356915261,0.3363477288504832,0.705272992162542,0.3363477288504832,1.411314151255396,0.6011689792693945,0.6011689792693945,0.3229202356915261,0.5623412699713972,0.5623412699713972,0.705272992162542,0.6011689792693945,0.3363477288504832,1.1303438431736468,0.24134283520281452"
RandomForestRegressor,0.8798292751507967,1994,"8.698960822987015,5.963911207321601,5.963911207321601,0.7074931245360736,0.7700937536374972,5.963911207321601,0.6654537784947824,0.6654537784947824,0.6654537784947824,0.7074931245360736,2.490013009282726,1.8115459715965554,2.490013009282726,0.6753446882705462,3.33647991935876,2.12267966081478,0.5429921702431463,0.8107302756517614,0.7141548003800916,0.8482813685377341,0.7141548003800916,0.6266436663852369,0.5429921702431463,0.6266436663852369,0.6266436663852369,2.522994169611688,0.6654537784947824,0.7074931245360736,0.6266436663852369,2.522994169611688,1.34819367385588,0.6654537784947824,0.6753446882705462,0.6654537784947824,0.6266436663852369,0.5993762500206661,0.6686830124265282,0.6733976524001308,1.6323705973291838,0.5429921702431463,0.6753446882705462,0.5993762500206661,0.6733976524001308,0.7074931245360736,0.5429921702431463,0.6266436663852369,0.7700937536374972,0.5429921702431463,0.6753446882705462,0.7700937536374972,1.790850733759888,0.5319921700130061,0.7074931245360736,0.7700937536374972,0.731728768048066,0.6733976524001308,0.7700937536374972,1.6323705973291838,0.5429921702431463,0.6654537784947824,0.5993762500206661,0.6266436663852369,0.7620292537664521,0.7074931245360736,0.6654537784947824,0.7141548003800916,0.7141548003800916,0.6266436663852369,0.7141548003800916,0.7074931245360736,0.6654537784947824,0.6830277461627567,0.6686830124265282,0.6654537784947824,2.1849951424842073,0.8490136526316343,0.6654537784947824,0.7141548003800916,0.7700937536374972,0.7141548003800916,0.6753446882705462,0.7141548003800916,0.7141548003800916,0.6733976524001308,0.8825763736292552,0.7074931245360736,0.7524381773599647,1.639715395436807,0.6654537784947824,0.7524381773599647,0.8107302756517614,0.8490136526316343,0.7700937536374972,0.6654537784947824,0.6654537784947824,0.5429921702431463,0.574626029638609,0.6654537784947824,0.6654537784947824,0.7074931245360736,0.6733976524001308,0.7524381773599647,0.6654537784947824,0.6654537784947824,0.6266436663852369,0.7141548003800916,0.6654537784947824,0.6733976524001308,0.7141548003800916,0.8482813685377341,2.1019844229781124,0.7700937536374972,0.7700937536374972,0.7620292537664521,0.5498101081763521,0.574626029638609,0.6654537784947824,0.6753446882705462,0.6733976524001308,0.7141548003800916,0.5429921702431463"
SparkXGBRegressor,1.1630386956540253,1994,"14.974376678466797,6.073297023773193,6.073297023773193,0.4837629497051239,1.513918399810791,6.073297023773193,0.8054351806640625,0.24954262375831604,0.021069368347525597,0.4837629497051239,3.416188955307007,0.6707407832145691,3.416188955307007,1.8613910675048828,4.08073616027832,2.9211909770965576,1.2527672052383423,2.496737480163574,0.3929223418235779,2.3270578384399414,0.9017913341522217,0.10453106462955475,0.1667092740535736,0.17483830451965332,0.4147700369358063,0.258757084608078,0.12683086097240448,0.29522234201431274,0.4147700369358063,0.258757084608078,0.6657785177230835,0.33207961916923523,0.44263944029808044,0.001228834968060255,0.37431418895721436,0.47616228461265564,0.07296159863471985,0.3317652940750122,1.620107650756836,9.940764866769314E-4,0.44263944029808044,0.47616228461265564,0.3317652940750122,0.29522234201431274,-0.06740690022706985,0.208513081073761,0.534023106098175,0.1667092740535736,0.45406049489974976,0.49890702962875366,0.43322673439979553,0.2571086287498474,0.2098737210035324,1.513918399810791,0.7839776277542114,0.20616348087787628,0.471530556678772,1.4900791645050049,9.940764866769314E-4,0.20647786557674408,0.47616228461265564,0.20756378769874573,0.5351410508155823,1.477710247039795,0.06092530116438866,0.13652533292770386,0.13652533292770386,-0.40960878133773804,0.13652533292770386,0.138397678732872,0.33207961916923523,0.2927435040473938,0.08059611916542053,0.001228834968060255,4.906279563903809,0.7513693571090698,0.11683536320924759,0.13652533292770386,1.6027591228485107,0.9017913341522217,0.5202370285987854,0.6712027192115784,0.6712027192115784,0.18438829481601715,1.8459081649780273,1.477710247039795,0.699079155921936,1.250755786895752,0.33207961916923523,0.699079155921936,1.5148831605911255,0.25809070467948914,0.534023106098175,0.001228834968060255,0.2001037895679474,0.1667092740535736,1.4706659317016602,0.12683086097240448,0.46125316619873047,0.138397678732872,0.20616348087787628,0.6263623833656311,0.46125316619873047,0.2951515018939972,0.09389334172010422,0.9017913341522217,0.2951515018939972,0.20616348087787628,0.6712027192115784,1.0154461860656738,2.7340803146362305,0.534023106098175,1.6027591228485107,0.5990122556686401,0.36725130677223206,1.4706659317016602,0.6423187255859375,0.6945445537567139,0.20616348087787628,2.0265896320343018,0.12027213722467422"
