model,rmse,year,predictions_str
LinearRegression,2.5207591253700903,1992,"3.5416620356899706,3.175710228280357,-0.3028867736053362,4.301378812081989,5.792842224858127,-0.3028867736053362,4.130087369347849,3.360435394402101,3.165122894887118,2.41777707316112,1.0363246992167165,3.0162417540185285,-0.08890110704544618,2.108031995274941,5.101085250596555,1.8899988106349381,5.101085250596555,2.1084932278417146,5.072863421050365,1.0363246992167165,1.9313902574269353,1.3833600345940444,1.9620939538557796,1.1887535855073905,0.4072886517763852,1.2433319491709718,-0.6858200453348005,0.9335868712847932,0.8886988131716635,5.101085250596555,1.8805105597689622,1.4035317614498666,0.6766383988202924,1.0693352029884349,3.345550215835119,2.050198622913833,-0.563319172626525,1.690281449770784,-0.259979066659477,-0.38621620221174613,2.657742761942032,2.4674900924445793,-0.259979066659477"
RidgeRegression,2.453165090249417,1992,"3.598056503894531,3.0976627386972475,-0.2074965153259578,4.203945886784403,5.712690141649335,-0.2074965153259578,4.106412406301683,3.1851877836443636,3.08684193916313,2.305519406555825,0.9467840502435483,3.113357763647988,0.010602220114089622,1.9947974924157028,4.788784430424667,1.9437139339976197,4.788784430424667,2.052735437460826,4.716146122163024,0.9467840502435483,2.006612953684041,1.2022959624795744,1.748566773547927,0.987352121928808,0.4115657242721067,1.2469960575578494,-0.5541754882052836,0.9362741434177273,0.9187164318774039,4.788784430424667,1.9112578331534757,1.3925943725898295,0.6424250133264726,1.0377140808640546,3.2899416352027533,2.0893122490295997,-0.3546361041178643,1.4839905096892152,-0.14806686478961373,-0.308513620341079,2.7840629027691572,2.278322569620901,-0.14806686478961373"
lassoRegression,2.1529037965422098,1992,"3.668949105213567,3.668949105213567,0.8544086467129055,2.043041882150857,4.857582340651519,0.8544086467129055,3.668949105213567,1.3250213285433499,3.668949105213567,0.8544086467129055,0.8544086467129055,3.668949105213567,0.8544086467129055,0.6185358708796369,3.668949105213567,0.8544086467129055,3.668949105213567,2.043041882150857,3.668949105213567,0.8544086467129055,2.043041882150857,0.8544086467129055,0.8544086467129055,0.8544086467129055,0.6185358708796369,0.8544086467129055,0.8544086467129055,0.6185358708796369,0.8544086467129055,3.668949105213567,2.043041882150857,0.8544086467129055,0.6185358708796369,0.9191238570180479,0.9191238570180479,0.8544086467129055,0.8544086467129055,0.8544086467129055,0.8544086467129055,0.8544086467129055,2.043041882150857,0.9191238570180479,0.8544086467129055"
DecisionTreeRegressor,2.372177906959099,1992,"4.719000047445297,2.3934615644124837,0.6871034464445608,4.340000152587891,6.233333130677541,0.6871034464445608,4.719000047445297,3.183333237965902,2.3934615644124837,4.340000152587891,0.6871034464445608,4.719000047445297,0.6871034464445608,4.340000152587891,4.719000047445297,4.340000152587891,4.719000047445297,0.6871034464445608,2.3934615644124837,0.6871034464445608,1.1711363588375123,0.6871034464445608,0.6871034464445608,0.6871034464445608,0.6871034464445608,0.6871034464445608,0.6871034464445608,0.6871034464445608,0.6871034464445608,4.719000047445297,0.6871034464445608,0.6871034464445608,0.6871034464445608,0.6871034464445608,4.340000152587891,4.340000152587891,1.1711363588375123,0.6871034464445608,0.6871034464445608,0.6871034464445608,0.6871034464445608,0.6871034464445608,0.6871034464445608"
GBTRegressor,2.5849295574496693,1992,"3.433591268234042,2.571977621047307,0.7652757545152914,4.41798353281459,6.858460710194918,0.7652757545152914,5.142085621074952,3.1869548592552013,1.6919052592247767,4.34362177387719,0.6907250677338602,2.4647478374515264,0.2575910656810123,4.1110111513107785,5.430799099691178,4.34362177387719,5.430799099691178,0.76508682667126,2.5254159201249387,0.6907250677338602,1.2491197390642117,0.8699052365352377,0.6907250677338602,0.6907250677338602,0.35212129467889647,0.6907250677338602,0.3266876573872267,0.35212129467889647,0.7372867686562281,5.430799099691178,0.76508682667126,0.8699052365352377,0.3781212967054544,0.6907250677338602,4.34362177387719,4.5228019426785675,1.1747579801268118,0.6907250677338602,-2.694525300612998,0.6907250677338602,0.76508682667126,0.6907250677338602,-2.694525300612998"
RandomForestRegressor,2.244348703639289,1992,"2.881732031990316,2.68891409813531,0.7528492261565304,2.568842367703955,5.985898635656184,0.7528492261565304,3.7441894696775435,1.0774453011318148,3.086868386649921,1.7214744913514122,0.5754426270087103,3.022718032334014,0.5384924139309477,1.6646709199119307,3.893446329736226,2.2341055558544083,3.893446329736226,0.9811687271543661,3.020997684662883,0.5754426270087103,1.1888685988991552,0.5803786436388993,0.5754426270087103,0.6353198197360821,0.5785162482966009,0.6353198197360821,0.6353198197360821,0.5785162482966009,0.6353198197360821,3.893446329736226,0.9162782077684402,0.6608492305576322,0.5785162482966009,0.6645621947267452,2.2341055558544083,2.2341055558544083,1.2487225124927563,0.5754426270087103,0.7015063031295088,0.6353198197360821,1.4142171205807692,0.6278416062411991,0.7015063031295088"
SparkXGBRegressor,2.9147903113538307,1992,"1.8546955585479736,2.8520779609680176,0.6878674626350403,4.282839775085449,6.3315205574035645,0.6878674626350403,7.351116180419922,1.7374030351638794,0.6472631692886353,3.7272303104400635,0.35447996854782104,1.3879703283309937,0.03131464868783951,3.3120391368865967,7.610584259033203,3.7272303104400635,7.610584259033203,1.2211309671401978,3.0868911743164062,0.35447996854782104,1.1684753894805908,-0.624316930770874,0.5577706694602966,0.4045904576778412,0.21793273091316223,0.42985957860946655,0.2480032742023468,0.1407773792743683,0.5547853708267212,7.610584259033203,1.1081945896148682,0.4759341776371002,0.2967303395271301,0.16093187034130096,3.571903705596924,2.3406107425689697,1.2727082967758179,0.6033677458763123,-1.165761113166809,0.42039066553115845,1.4213570356369019,0.5732348561286926,-1.165761113166809"
