model,rmse,year,predictions_str
LinearRegression,7.169997527520871,1984,"1.9687585215947903,1.6259126545348148,1.4022386749501217,1.4022386749501217,1.4471761725128425,1.6737671306396242,1.6259126545348148,1.5557395913284118,1.9687585215947903,2.746512811472799,2.746512811472799,3.041504202427965,1.7055141168648575,0.859478249069584"
RidgeRegression,7.155457020797178,1984,"1.8749549269693129,1.5637236697290684,1.3971119018552138,1.3971119018552138,1.3934337251648181,1.6173211351900436,1.5637236697290684,1.5754799321531956,1.8749549269693129,1.7157990903163298,1.7157990903163298,1.973432882095599,1.6674188172163193,0.834632052532832"
lassoRegression,7.409246649872822,1984,"1.0080123742619114,1.0080123742619114,1.0080123742619114,1.0080123742619114,0.6930057803568875,1.0080123742619114,1.0080123742619114,1.0080123742619114,1.0080123742619114,1.0080123742619114,1.0080123742619114,1.0080123742619114,1.0080123742619114,1.0080123742619114"
DecisionTreeRegressor,7.260799882321441,1984,"1.405000001192093,1.405000001192093,3.200000047683716,3.200000047683716,0.39388889115717673,1.405000001192093,1.405000001192093,2.140000104904175,1.405000001192093,1.405000001192093,1.405000001192093,1.405000001192093,1.405000001192093,1.3930555540654395"
GBTRegressor,7.28878159167008,1984,"1.2993884547735162,1.3210130479110185,3.2045909771075483,3.2045909771075483,0.3876648334000042,1.2993884547735162,1.3210130479110185,2.1914579527326814,1.2993884547735162,1.4564578490206002,1.4564578490206002,1.4564578490206002,1.5261210039899613,0.8634974851647589"
RandomForestRegressor,7.157988892455279,1984,"1.7525989712462722,1.7507528184271521,2.13664448565907,2.13664448565907,1.4624778742757996,1.5619322936918236,1.7507528184271521,1.7507528184271521,1.7525989712462722,1.5936194737172789,1.5936194737172789,1.7507528184271521,1.4317527912758172,0.8835314790407072"
SparkXGBRegressor,7.1572497396757,1984,"1.8171085119247437,1.7582262754440308,3.1960997581481934,3.1960997581481934,0.8261378407478333,1.8171085119247437,1.7582262754440308,2.1338326930999756,1.8171085119247437,2.3645033836364746,2.3645033836364746,2.3645033836364746,1.4071794748306274,0.4726428687572479"
