model,rmse,year,predictions_str
LinearRegression,4.950482775140937,1991,"8.494603950817865,4.51974970469702,4.696887575647015,6.782056232605381,5.652414573801382,5.346721274660158,9.556984421271153,-0.11482266419861809,6.019401299628685,4.1923920901338025,3.20933378367014,1.7849103489316054,2.133333504581952,6.824500430544436,6.039419350908201,4.034190704294778,1.039092070430954,5.319643849956818,5.262080891977092,7.443824734367219,2.133333504581952,4.981432359002859,6.40625212449619,2.8843288992957987,6.782056232605381,7.657643220414804,0.034373682809092365,7.657643220414804,6.0322115754535055,7.118819849992878,9.556984421271153,4.981432359002859,6.824500430544436,7.118819849992878,2.234495200282655,4.981432359002859,5.162030705672231,4.6764857697958195,4.981432359002859,1.362956491685659,6.782056232605381"
RidgeRegression,4.7064368740845035,1991,"8.095774555803139,4.401694083760093,4.872268006404205,6.361740590403958,5.6535395540372395,5.026469832358906,9.114726978559009,0.012605048623893111,5.769232852247111,4.296428811023495,3.223797913239615,1.8758211939685703,2.2132634446263593,6.50729690604738,5.765153999173856,3.876366289726601,0.9665398046058709,5.040873477189047,5.038788211024789,7.117209571518155,2.2132634446263593,4.74982016729031,5.864980412023355,2.659080428131061,6.361740590403958,7.542327263484496,0.16889683462552307,7.542327263484496,5.728385151575293,6.552492086409601,9.114726978559009,4.74982016729031,6.50729690604738,6.552492086409601,2.50487860217636,4.74982016729031,4.929047982731557,4.499846836562939,4.74982016729031,1.4934321223123668,6.361740590403958"
lassoRegression,2.8682741115200083,1991,"5.6944709820444395,2.156813588168122,5.494178153546871,2.4428007915433914,4.959992410223988,4.158439001677587,5.976422729957694,0.9067688111765396,3.6928455685349735,4.6516570650900055,3.7755308322827004,2.156813588168122,1.7083222197229393,4.959992410223988,3.6928455685349735,2.4428007915433914,0.9067688111765396,2.4428007915433914,2.4428007915433914,5.311562812649552,1.7083222197229393,2.059892622148504,2.4428007915433914,0.9067688111765396,2.4428007915433914,6.21003718721557,0.5238606417816521,6.21003718721557,2.4428007915433914,2.4428007915433914,5.976422729957694,2.059892622148504,4.959992410223988,2.4428007915433914,2.242507963045823,2.059892622148504,2.7247525394566456,2.3492308248803853,2.059892622148504,1.7083222197229393,2.4428007915433914"
DecisionTreeRegressor,4.521735024896723,1991,"2.6115384927162757,1.0627835015430278,2.6115384927162757,1.0627835015430278,7.230000078678131,2.6115384927162757,1.2000000476837158,1.4812499755062163,1.0627835015430278,7.230000078678131,2.6115384927162757,1.0627835015430278,1.0627835015430278,7.230000078678131,1.0627835015430278,1.0627835015430278,1.0627835015430278,1.4812499755062163,1.0627835015430278,2.6115384927162757,1.0627835015430278,1.0627835015430278,1.0627835015430278,1.0627835015430278,1.0627835015430278,18.139999389648438,1.0627835015430278,18.139999389648438,1.4812499755062163,1.0627835015430278,1.2000000476837158,1.0627835015430278,7.230000078678131,1.0627835015430278,0.1699999955793222,1.0627835015430278,1.0627835015430278,1.0627835015430278,1.0627835015430278,1.4812499755062163,1.0627835015430278"
GBTRegressor,4.756569738492875,1991,"2.601568596660907,1.6296105611648697,2.1641410465716278,1.0156309516207525,8.453395107742544,2.7157193788767824,1.1900301516283471,1.5482482077998165,1.0156309516207525,4.424010096398824,2.534917775763112,1.1016541509095366,1.5501827043391845,8.453395107742544,1.0156309516207525,1.0156309516207525,1.0759237721546655,1.434097425583941,1.0156309516207525,2.4151840683904386,1.5501827043391845,0.8664290772171909,1.0156309516207525,1.129781733836628,1.0156309516207525,19.07320884256552,1.2196523343481998,19.07320884256552,1.434097425583941,1.0156309516207525,1.1900301516283471,0.8664290772171909,8.453395107742544,1.0156309516207525,-0.2773974505653255,0.8664290772171909,1.0156309516207525,0.3728194434550553,0.8664290772171909,1.968649178302373,1.0156309516207525"
RandomForestRegressor,3.8321874389494246,1991,"4.21516139593531,1.8928788671389447,3.2891644439749577,1.2897527583928543,6.847593334444758,2.9698469532230165,9.863848370494264,1.1500783428207462,3.0490776729804305,6.847593334444758,2.854255844504966,1.242660085457047,1.489932165743587,6.847593334444758,2.947609984185603,1.1509051448834646,1.1508337826257813,1.1391475803629318,1.1509051448834646,4.073784189085971,1.489932165743587,1.1944780656654905,1.1150829242483817,1.1508337826257813,1.2897527583928543,11.37997842144994,1.2503969795913263,11.37997842144994,1.174969800998015,1.1509051448834646,9.863848370494264,1.1944780656654905,6.847593334444758,1.1509051448834646,1.1509051448834646,1.1944780656654905,1.2137299810313287,1.1509051448834646,1.1944780656654905,0.9657741968003476,1.2897527583928543"
SparkXGBRegressor,4.789337886952621,1991,"4.156926155090332,2.078718662261963,1.1394977569580078,1.5852090120315552,9.721036911010742,3.1820497512817383,1.913705587387085,2.144172191619873,4.539480209350586,3.433594226837158,2.4848828315734863,1.2123874425888062,1.131820797920227,9.604323387145996,4.385923862457275,1.0663135051727295,1.1428436040878296,1.2399684190750122,1.1827515363693237,2.553154230117798,1.131820797920227,0.7393257021903992,1.0159543752670288,1.1865816116333008,1.5852090120315552,18.181716918945312,1.6188740730285645,18.181716918945312,1.4630982875823975,1.2550145387649536,1.913705587387085,0.7393257021903992,9.604323387145996,1.2550145387649536,-0.08636742830276489,0.7393257021903992,0.9195156693458557,1.098297119140625,0.7393257021903992,1.7525975704193115,1.5852090120315552"
