model,rmse,year,predictions_str
LinearRegression,2.431124303271229,1986,"4.455156362035395,-0.6133906225543253,4.455156362035395,5.687224776595839,-0.32263385363769226,-0.6133906225543253,3.962196844894098,5.687224776595839,-0.7121135781759165,1.9075907315340488,4.09402180197044,3.613974211561398,4.09402180197044,3.613974211561398,0.675522316973605,-0.7121135781759165,1.9075907315340488,2.3876383219430912,4.455156362035395,2.3412948833742093,-0.10587483997844416"
RidgeRegression,2.341840245926029,1986,"4.356495233282255,-0.40083135962847316,4.356495233282255,5.585086142903387,-0.13132282888511182,-0.40083135962847316,3.9308855275186314,5.585086142903387,-0.5010574221288981,1.9985807788046919,4.000926251930738,3.5931702586132452,4.000926251930738,3.5931702586132452,0.7699898691835598,-0.5010574221288981,1.9985807788046919,2.4063367721221844,4.356495233282255,2.2718671058802355,-0.021431932597137937"
lassoRegression,1.611547850606673,1986,"3.9762218528575954,0.6236751944473458,3.9762218528575954,4.836559657266915,0.6236751944473458,0.6236751944473458,3.9762218528575954,4.836559657266915,0.6236751944473458,1.4840129988566655,1.670860107705855,1.4840129988566655,1.670860107705855,1.4840129988566655,0.6236751944473458,0.6236751944473458,1.4840129988566655,1.670860107705855,3.9762218528575954,1.670860107705855,0.6236751944473458"
DecisionTreeRegressor,1.908281301624145,1986,"1.8466667036215465,0.1899999976158142,1.8466667036215465,6.098750211298466,0.8011111092098333,0.1899999976158142,2.8399999141693115,6.098750211298466,0.393947370056259,1.7,0.8011111092098333,1.7,0.8011111092098333,1.7,0.393947370056259,0.393947370056259,1.7,0.8011111092098333,1.8466667036215465,1.5380952329862685,0.2749999947845936"
GBTRegressor,1.8821740410554935,1986,"1.8799415850583132,0.23280788698600274,1.8799415850583132,6.0757211883160345,0.8139606651641557,0.23280788698600274,2.7407494050671293,6.0757211883160345,0.42722225149302595,1.5267300612607642,0.8139606651641557,1.4749709765407317,0.8139606651641557,1.4749709765407317,0.47898133621305844,0.42722225149302595,1.5267300612607642,0.8657197498841882,1.8799415850583132,1.5530483064186025,0.4006311698623262"
RandomForestRegressor,1.465533227657242,1986,"2.928127551464056,0.782457224903612,2.928127551464056,3.966197467422181,1.0279165575494678,0.782457224903612,3.642636061890258,3.966197467422181,1.072900516638384,2.1167267985813676,1.9182373155487447,2.1167267985813676,1.9182373155487447,2.1167267985813676,1.072900516638384,1.072900516638384,2.1167267985813676,1.9182373155487447,2.928127551464056,1.6789504369299493,1.1800988837473478"
SparkXGBRegressor,1.7960287342679941,1986,"2.6487205028533936,0.3938559591770172,2.6487205028533936,6.092395782470703,0.9075470566749573,0.3938559591770172,2.827362060546875,6.092395782470703,0.44391047954559326,0.9948658347129822,1.0916001796722412,0.8587498068809509,1.0916001796722412,0.8587498068809509,0.5725709795951843,0.44391047954559326,0.9948658347129822,1.1725749969482422,2.6487205028533936,1.4483649730682373,0.3106561005115509"
