model,rmse,year,predictions_str
LinearRegression,1.396387282059165,1981,"1.3344827493814304,0.3074999840814794,3.5674999803578986,0.27499997716833113,1.269482735555139,3.599999987271042,1.3019827424682873,3.5349999734447506,3.5674999803578986,3.599999987271042,3.5674999803578986,1.269482735555139,0.3074999840814794,0.3074999840814794,0.3074999840814794,0.3074999840814794,3.5349999734447506,0.3074999840814794,0.3074999840814794,1.3019827424682873,0.3074999840814794,0.27499997716833113,1.3344827493814304,1.269482735555139,0.3074999840814794,0.3399999909946225,0.3074999840814794,0.3399999909946225,0.3074999840814794,0.3074999840814794,0.3074999840814794,0.3074999840814794,3.5674999803578986,0.3074999840814794,0.3074999840814794,0.3074999840814794,0.4249999886480458,0.3074999840814794,3.5674999803578986,3.5674999803578986,0.3074999840814794,0.27499997716833113,0.4249999886480458,0.4574999955611939,0.3074999840814794,0.4249999886480458"
RidgeRegression,1.2505210977459835,1981,"1.2061595693114624,0.5630301756171419,3.1930951952670057,0.682155957244908,1.4444111325669966,3.0739694136392375,1.3252853509392306,3.312220976894772,3.1930951952670057,3.0739694136392375,3.1930951952670057,1.4444111325669966,0.5630301756171419,0.5630301756171419,0.5630301756171419,0.5630301756171419,3.312220976894772,0.5630301756171419,0.5630301756171419,1.3252853509392306,0.5630301756171419,0.682155957244908,1.2061595693114624,1.4444111325669966,0.5630301756171419,0.44390439398937376,0.5630301756171419,0.44390439398937376,0.5630301756171419,0.5630301756171419,0.5630301756171419,0.5630301756171419,3.1930951952670057,0.5630301756171419,0.5630301756171419,0.5630301756171419,0.8141619817291604,0.5630301756171419,3.1930951952670057,3.1930951952670057,0.5630301756171419,0.682155957244908,0.8141619817291604,0.6950362001013943,0.5630301756171419,0.8141619817291604"
lassoRegression,1.262959780162563,1981,"0.7226189066591955,0.7226189066591955,3.1608337572534055,0.7226189066591955,0.7226189066591955,3.1608337572534055,0.7226189066591955,3.1608337572534055,3.1608337572534055,3.1608337572534055,3.1608337572534055,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,3.1608337572534055,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,3.1608337572534055,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,3.1608337572534055,3.1608337572534055,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955,0.7226189066591955"
DecisionTreeRegressor,1.4086524048478568,1981,"0.7699999809265137,0.3400000035762787,3.534999966621399,0.3400000035762787,0.6449999734759331,3.534999966621399,0.6449999734759331,3.534999966621399,3.534999966621399,3.534999966621399,3.534999966621399,0.6449999734759331,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,3.534999966621399,0.3400000035762787,0.3400000035762787,0.6449999734759331,0.3400000035762787,0.3400000035762787,0.7699999809265137,0.6449999734759331,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,3.534999966621399,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.49000000953674316,0.3400000035762787,3.534999966621399,3.534999966621399,0.3400000035762787,0.3400000035762787,0.49000000953674316,0.49000000953674316,0.3400000035762787,0.49000000953674316"
GBTRegressor,1.4086524048478568,1981,"0.7699999809265137,0.3400000035762787,3.534999966621399,0.3400000035762787,0.6449999734759331,3.534999966621399,0.6449999734759331,3.534999966621399,3.534999966621399,3.534999966621399,3.534999966621399,0.6449999734759331,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,3.534999966621399,0.3400000035762787,0.3400000035762787,0.6449999734759331,0.3400000035762787,0.3400000035762787,0.7699999809265137,0.6449999734759331,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,3.534999966621399,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.49000000953674316,0.3400000035762787,3.534999966621399,3.534999966621399,0.3400000035762787,0.3400000035762787,0.49000000953674316,0.49000000953674316,0.3400000035762787,0.49000000953674316"
RandomForestRegressor,1.0053220331696069,1981,"0.7149805458345347,1.1605472074904377,2.0821721984156305,1.1605472074904377,1.1605472074904377,1.6366055367597276,1.1605472074904377,2.0821721984156305,2.0821721984156305,1.6366055367597276,2.0821721984156305,1.1605472074904377,1.1605472074904377,1.1605472074904377,1.1605472074904377,1.1605472074904377,2.0821721984156305,1.1605472074904377,1.1605472074904377,1.1605472074904377,1.1605472074904377,1.1605472074904377,0.7149805458345347,1.1605472074904377,1.1605472074904377,0.6624805482187205,1.1605472074904377,0.6624805482187205,1.1605472074904377,1.1605472074904377,1.1605472074904377,1.1605472074904377,2.0821721984156305,1.1605472074904377,1.1605472074904377,1.1605472074904377,1.1605472074904377,1.1605472074904377,2.0821721984156305,2.0821721984156305,1.1605472074904377,1.1605472074904377,1.1605472074904377,1.1605472074904377,1.1605472074904377,1.1605472074904377"
SparkXGBRegressor,1.4115819360416517,1981,"0.7088219523429871,0.3410682678222656,3.5342884063720703,0.3410682678222656,0.6449324488639832,3.5342884063720703,0.6449324488639832,3.5342884063720703,3.5342884063720703,3.5342884063720703,3.5342884063720703,0.6449324488639832,0.3410682678222656,0.3410682678222656,0.3410682678222656,0.3410682678222656,3.5342884063720703,0.3410682678222656,0.3410682678222656,0.6449324488639832,0.3410682678222656,0.3410682678222656,0.7088219523429871,0.6449324488639832,0.3410682678222656,0.3410682678222656,0.3410682678222656,0.3410682678222656,0.3410682678222656,0.3410682678222656,0.3410682678222656,0.3410682678222656,3.5342884063720703,0.3410682678222656,0.3410682678222656,0.3410682678222656,0.49039942026138306,0.3410682678222656,3.5342884063720703,3.5342884063720703,0.3410682678222656,0.3410682678222656,0.49039942026138306,0.49039942026138306,0.3410682678222656,0.49039942026138306"
