model,rmse,year,predictions_str
LinearRegression,3.45833742598155,1988,"4.986578572046347,4.986578572046347,4.317660010162948,2.5599982034721336,3.6424164190840713,3.3810827489258335,4.986578572046347,0.7536586650097699,1.1896590137609957,2.080675447608556,0.8364225383213728,0.8399982930321497,2.020859515447008,0.6503840730108417,0.44760675965278063"
RidgeRegression,3.4811843865202476,1988,"4.862370222152799,4.862370222152799,4.199379236173371,2.5640133369155604,3.5858897536180736,3.3642514401259724,4.862370222152799,0.8584604183606304,1.2742638834898035,1.9596129230244712,0.9228021495054184,0.9300875560430608,1.9407614146782994,0.6428489487450237,0.47970661777607293"
lassoRegression,3.743939837271657,1988,"4.061314862045388,4.061314862045388,3.6041899168270213,0.9903998583371727,3.6041899168270213,3.6041899168270213,4.061314862045388,0.9903998583371727,1.1966292727734529,0.9903998583371727,0.9903998583371727,0.9903998583371727,1.3697324172823093,0.7395043275550854,0.7395043275550854"
DecisionTreeRegressor,3.4295328092118686,1988,"5.320000177621841,5.320000177621841,2.305714330502919,2.559999942779541,2.305714330502919,2.305714330502919,5.320000177621841,1.3899999856948853,1.1705970125578677,1.1705970125578677,0.7733333266029755,1.1705970125578677,1.1705970125578677,0.41243902512076425,1.1705970125578677"
GBTRegressor,3.418986212887953,1988,"5.32240202632482,5.32240202632482,2.2935184509326456,2.550086726351738,2.4364246715473565,2.2935184509326456,5.32240202632482,1.4040475786165012,1.1033366996742082,1.1493654360982137,1.8531294270854253,1.0131387422214593,1.067007738185822,0.42252338414250973,0.3075869609864958"
RandomForestRegressor,3.693748577594602,1988,"4.059373920597238,4.059373920597238,2.9367626477309634,2.195735310379334,3.091823699009248,2.6303770569104814,4.059373920597238,1.2035283430487258,1.297944205206654,1.298649849672684,1.6451671457756323,1.538378462536644,0.9008142081983186,0.4552968290776338,0.6962010293473743"
SparkXGBRegressor,3.478082681118514,1988,"5.308654308319092,5.308654308319092,1.5905557870864868,2.5518343448638916,2.671961545944214,2.498314142227173,5.308654308319092,1.37295401096344,0.9956058859825134,1.2456090450286865,2.2232377529144287,0.8367651700973511,1.045039176940918,0.40663325786590576,0.06443583965301514"
