model,rmse,year,predictions_str
LinearRegression,9.96650814711124,1985,"3.6050118104108977,3.6786188039807053,3.327167302130252,3.6050118104108977,4.6450033653213305,0.35729316263906963,1.1000002495445853,3.9072775687220704,3.6050118104108977,3.6050118104108977,1.644495407966518,1.2317895453215468,1.2133172857227674,1.3983832532225862"
RidgeRegression,9.963815609884378,1985,"3.5358162147869336,3.57205367617616,3.2944911105997257,3.5358162147869336,4.184593906959803,0.671608962036164,1.2156601580609054,3.8035379956406867,3.5358162147869336,3.5358162147869336,1.2708096884339302,1.1379487576927128,1.2023396032045381,1.4126290726288429"
lassoRegression,10.003861889331924,1985,"3.0802631232244444,3.0802631232244444,3.0802631232244444,3.0802631232244444,3.0802631232244444,0.6800846170277495,0.6800846170277495,1.831846471659841,3.0802631232244444,3.0802631232244444,0.6800846170277495,0.6800846170277495,0.6800846170277495,0.6800846170277495"
DecisionTreeRegressor,10.413102434963605,1985,"1.3816666702429454,1.3816666702429454,3.126666784286499,1.3816666702429454,1.3816666702429454,0.8409523829108193,0.8409523829108193,0.8409523829108193,1.3816666702429454,1.3816666702429454,0.8409523829108193,0.8409523829108193,0.8409523829108193,0.4040540557455372"
GBTRegressor,10.442443047810078,1985,"1.2625845694656372,1.3992751291637826,3.1728126183833396,1.2625845694656372,1.4278125043397858,0.9840095023144113,0.8870982170076599,0.8033374857964581,1.2625845694656372,1.2625845694656372,0.8870982170076599,0.9840095023144113,-0.03758539849857503,0.4216625146663747"
RandomForestRegressor,10.183185908297084,1985,"2.4480134463707603,2.7698553703512467,3.42367542492208,2.4480134463707603,2.6880753666843686,1.6049977732861276,2.1839573355503643,3.4488669336315647,2.4480134463707603,2.4480134463707603,1.151762106522614,1.6049977732861276,1.291585237765441,0.9377498467889536"
SparkXGBRegressor,10.404821680301444,1985,"1.399228811264038,1.802893877029419,3.1156482696533203,1.399228811264038,1.0379467010498047,0.9704514741897583,1.0966877937316895,1.4164068698883057,1.399228811264038,1.399228811264038,1.1137375831604004,1.195106029510498,-0.3520711362361908,0.5908637642860413"
