model,rmse,year,predictions_str
LinearRegression,1.934508650887081,1993,"6.093705535888348,5.046415226047336,5.01963735607879,2.730628448375149,1.4538472359142176,2.6747217094826228,5.6480317011099155,1.9216016167021297,2.660474156551092,2.2394654990669367,2.2394654990669367,1.4538472359142176,2.6747217094826228,3.41925317933274,1.0301681247021706,4.457668154250713,3.4499888907703045,-0.42222399339403094,2.2394654990669367,0.6698170337584503,-0.30462829258782886,3.8046966281847063,-0.5778264410268205,0.43010475530496384,2.22904787470419,4.903341989029145,3.313533678876494,0.39000081497161243,2.2394654990669367,0.833492630883434,3.8583362199972484,0.45882246865433174,1.9731544028925598,2.2394654990669367,1.668980094096042,1.0291713866220173,-0.099992113929945,0.30897016020370927,0.031005064364578838,-0.5778264410268205,1.6094957478596514,2.1214872440319352,4.486637800451456,1.160979983066662,1.160979983066662,2.1976288927478147,0.9258640930515477,2.253616706521744,1.0390103428887567,2.1214872440319352,2.1601430434042537,1.6339039943004394,1.0291713866220173,1.9731544028925598,0.6592273889360184,3.2784575790808916,1.0291713866220173,1.160979983066662,1.6713898436440005,1.5693273122936064"
RidgeRegression,1.8567040908317807,1993,"5.788089938425932,4.793808661399017,4.7571078674373,2.583194829765468,1.3615434518507326,2.5975934664837887,5.484846757811496,1.7095712587544836,2.7272782503919344,2.082885885274368,2.082885885274368,1.3615434518507326,2.5975934664837887,3.2527812144357364,1.0141897138202514,4.260753589485747,3.318260427585995,-0.2752570809236178,2.082885885274368,0.6440384454230631,-0.19133346491750813,3.6141769007541,-0.43356690309399004,0.4260924197273589,2.294350285869353,4.563996770100182,3.113867956263,0.4970569158557213,2.082885885274368,0.9053741689263982,3.7349984690695957,0.5009058339970761,1.9168419063955904,2.082885885274368,1.5304642035994624,1.033886236566634,0.13266373733846015,0.5776909130455109,0.127763955643852,-0.43356690309399004,1.5578156754381274,2.081758227277109,4.2527331646770605,1.1443473899141632,1.1443473899141632,2.0788201270052293,0.9225606293686757,2.240626540095011,1.0053939937632217,2.081758227277109,2.0307731480905624,1.636515380159727,1.033886236566634,1.9168419063955904,0.6695502957662051,3.219919132823264,1.033886236566634,1.1443473899141632,1.6845623590743934,1.5610854313977636"
lassoRegression,1.473751917016,1993,"4.713325752477751,3.6505974787152744,3.6505974787152744,0.9066725230345938,0.9066725230345938,1.9694007967970706,4.713325752477751,0.9066725230345938,1.9694007967970706,0.9066725230345938,0.9066725230345938,0.9066725230345938,1.9694007967970706,1.3500648195431577,0.9066725230345938,3.6505974787152744,3.4643702903570266,0.9066725230345938,0.9066725230345938,0.7204453346763461,0.9066725230345938,1.9694007967970706,0.7204453346763461,0.7204453346763461,1.9694007967970706,3.6505974787152744,1.9694007967970706,0.9066725230345938,0.9066725230345938,0.9066725230345938,3.6505974787152744,0.9066725230345938,1.9694007967970706,0.9066725230345938,0.9066725230345938,0.9066725230345938,0.9889903089916927,0.9066725230345938,0.7204453346763461,0.7204453346763461,0.9889903089916927,0.9066725230345938,3.6505974787152744,0.7204453346763461,0.7204453346763461,0.9066725230345938,0.9066725230345938,0.9889903089916927,0.9889903089916927,0.9066725230345938,0.9066725230345938,0.9889903089916927,0.9066725230345938,1.9694007967970706,0.9066725230345938,2.0517185827541695,0.9066725230345938,0.7204453346763461,0.9889903089916927,0.9066725230345938"
DecisionTreeRegressor,1.9360628877433204,1993,"20.610000610351562,0.9399999901652336,3.232820539520337,0.7284263952488675,0.7284263952488675,1.241874988656491,6.115384803368495,0.7284263952488675,0.7284263952488675,0.7284263952488675,0.7284263952488675,0.7284263952488675,1.241874988656491,2.7899999618530273,1.241874988656491,3.232820539520337,2.040833373864492,0.7284263952488675,0.7284263952488675,0.7284263952488675,0.7284263952488675,0.7284263952488675,0.7284263952488675,0.7284263952488675,1.241874988656491,3.232820539520337,0.7284263952488675,0.7284263952488675,0.7284263952488675,0.7284263952488675,3.232820539520337,0.7284263952488675,0.7284263952488675,0.7284263952488675,0.7284263952488675,0.7284263952488675,2.244999974966049,0.7284263952488675,1.241874988656491,0.7284263952488675,2.244999974966049,0.7284263952488675,3.232820539520337,0.7284263952488675,0.7284263952488675,0.7284263952488675,0.7284263952488675,0.11999999731779099,2.244999974966049,0.7284263952488675,0.7284263952488675,2.244999974966049,0.7284263952488675,0.7284263952488675,0.7284263952488675,5.18500018119812,0.7284263952488675,0.7284263952488675,2.244999974966049,0.7284263952488675"
GBTRegressor,1.9097591688708728,1993,"20.550430822258463,0.8429132465917444,3.0321037957596473,0.5277096514881778,1.0053655047544072,1.1823052005633936,6.165472268160594,0.6313396516753784,0.7785138600409668,0.686256162107901,0.686256162107901,1.0053655047544072,1.1823052005633936,2.6929132182795383,1.2511985534739865,3.2453910488320443,1.5064335857501554,0.6313396516753784,0.686256162107901,0.6028291718453489,0.3209243786267619,0.6688566071557703,0.4789096982918445,0.4789096982918445,1.29196245344859,3.135733795946848,0.6677957740588306,0.5277096514881778,0.686256162107901,0.6948815676458701,3.729941072236799,0.6313396516753784,0.6688566071557703,0.686256162107901,0.7091947820726757,0.20804826154463527,1.6220011446982758,0.33234789096305073,0.992358291699468,0.4789096982918445,2.259157951444737,0.6373669043733743,3.135733795946848,0.4789096982918445,0.4789096982918445,0.6313396516753784,0.6313396516753784,0.11617018675766567,2.1660476250094427,0.6373669043733743,0.737749960066363,2.1660476250094427,0.20804826154463527,0.6688566071557703,0.6313396516753784,5.235087645990219,0.20804826154463527,0.4789096982918445,2.2575704842777564,0.6214257437066015"
RandomForestRegressor,1.1708705497484695,1993,"11.323455811711563,3.6686926156449724,2.8669392964217604,0.8966825871331032,0.799210152416731,1.3080375167655118,4.990868846575365,0.7502303378606534,1.3492260632872153,0.8966825871331032,0.8966825871331032,0.799210152416731,1.3080375167655118,1.9247197993163614,1.222441268370792,3.1161859515745505,2.6184392949912487,0.799210152416731,0.8966825871331032,0.660547126643154,0.7502303378606534,0.9953329182848984,0.660547126643154,0.660547126643154,1.320640703061131,3.0586337475866285,0.9953329182848984,0.8966825871331032,0.8966825871331032,1.109607846005348,3.641035278373676,0.799210152416731,0.9953329182848984,0.8966825871331032,0.6426417011311026,0.7502303378606534,1.0410191098198864,0.7502303378606534,1.0461961159416688,0.660547126643154,2.852345218122826,0.9694790817999819,3.0586337475866285,0.660547126643154,0.660547126643154,0.799210152416731,0.718492242653425,1.0410191098198864,1.408264675352249,0.9694790817999819,0.7427845568604783,1.280573319759805,0.7502303378606534,0.9953329182848984,0.6589720597366684,2.6240586077668686,0.7502303378606534,0.660547126643154,1.089998924375964,0.7502303378606534"
SparkXGBRegressor,2.079823837533564,1993,"20.018814086914062,0.9569718837738037,4.409162521362305,0.42903387546539307,1.5667104721069336,1.2822868824005127,6.1080169677734375,0.5834106802940369,0.8054340481758118,0.4875788688659668,0.4875788688659668,1.5667104721069336,1.2822868824005127,2.782806873321533,1.5252436399459839,2.9052529335021973,0.6097127795219421,0.7973989844322205,0.4875788688659668,0.39919546246528625,0.2651788294315338,0.5996636152267456,0.18504542112350464,0.17312566936016083,1.1300526857376099,4.652227878570557,0.48642489314079285,0.42903387546539307,0.4875788688659668,1.3499257564544678,5.766794681549072,0.8888111710548401,0.6484681367874146,0.4875788688659668,0.3468262255191803,0.2712481915950775,1.56882643699646,-0.03439441695809364,1.5758732557296753,0.18504542112350464,3.180345296859741,0.6393270492553711,4.614229202270508,0.18504542112350464,0.18504542112350464,0.8888111710548401,0.09743795543909073,0.1296493262052536,2.7535147666931152,0.6393270492553711,0.3562551438808441,2.522156000137329,0.2712481915950775,0.6484681367874146,0.10992845147848129,5.184753894805908,0.2712481915950775,0.18504542112350464,2.2176387310028076,0.3885955512523651"
