model,rmse,year,predictions_str
LinearRegression,1.3300030053557752,1982,"1.4667606748562858,1.4667606748562858,2.6109631006579423,0.5255116542700353,1.7030098917423286,2.6109631006579423,2.6109631006579423,0.3963359751505552,1.7030098917423286,1.7030098917423286,2.6109631006579423,0.90725647220526,0.6488483298064115,1.7030098917423286,0.6488483298064115,1.6306592498702277,0.35829482958219483,0.6488483298064115,2.7748616756718842,1.6574981420106578,0.40380657931386577,0.6488483298064115,0.6488483298064115,-0.16800972560585348,0.9527682219369309,0.6488483298064115,0.19991944312932264,0.3900000815168234,0.6488483298064115,0.5700000688808893,0.09539069943090284,0.19991944312932264,0.6488483298064115,0.6488483298064115,0.90725647220526,0.9527682219369309"
RidgeRegression,1.298011515263224,1982,"1.167253582097004,1.167253582097004,2.307569385103969,0.6540354092295104,1.5708790876722436,2.307569385103969,2.307569385103969,0.537880028326212,1.5708790876722436,1.5708790876722436,2.307569385103969,0.8562528696792255,0.6693599185093743,1.5708790876722436,0.6693599185093743,1.2879180387362161,0.451544513891325,0.6693599185093743,2.428233841743181,1.5087571493677068,0.5136664521958617,0.6693599185093743,0.6693599185093743,0.08765213133688965,0.9183748079837623,0.6693599185093743,0.3083132594550725,0.44001207913108203,0.6693599185093743,0.5875164581682619,0.2694382174033576,0.3083132594550725,0.6693599185093743,0.6693599185093743,0.8562528696792255,0.9183748079837623"
lassoRegression,1.2545889319017764,1982,"0.7537781447097235,0.7537781447097235,1.4773331294863508,0.7537781447097235,1.0472395703344697,1.4773331294863508,1.4773331294863508,0.7537781447097235,1.0472395703344697,1.0472395703344697,1.4773331294863508,0.7537781447097235,0.7537781447097235,1.0472395703344697,0.7537781447097235,0.7537781447097235,0.7537781447097235,0.7537781447097235,1.4773331294863508,1.0472395703344697,0.7537781447097235,0.7537781447097235,0.7537781447097235,0.7537781447097235,0.7537781447097235,0.7537781447097235,0.7537781447097235,0.7537781447097235,0.7537781447097235,0.7537781447097235,0.7537781447097235,0.7537781447097235,0.7537781447097235,0.7537781447097235,0.7537781447097235,0.7537781447097235"
DecisionTreeRegressor,1.3082900581389842,1982,"0.8685714198010308,0.8685714198010308,0.9700000286102295,0.8685714198010308,2.2899999916553497,0.9700000286102295,0.9700000286102295,0.4959999966621399,2.2899999916553497,2.2899999916553497,0.9700000286102295,0.4959999966621399,0.4959999966621399,2.2899999916553497,0.4959999966621399,1.1166666845480602,0.49000000953674316,0.4959999966621399,1.4600000381469727,1.350000023841858,0.19749999418854713,0.4959999966621399,0.4959999966621399,0.4959999966621399,0.8685714198010308,0.4959999966621399,0.4959999966621399,0.4959999966621399,0.4959999966621399,0.4959999966621399,0.4959999966621399,0.4959999966621399,0.4959999966621399,0.4959999966621399,0.4959999966621399,0.8685714198010308"
GBTRegressor,1.297973446890662,1982,"0.9408059092845074,0.9408059092845074,1.042234518093706,0.9408059092845074,2.303916099635888,1.042234518093706,1.042234518093706,0.4813352994158752,2.303916099635888,2.303916099635888,1.042234518093706,0.4665570094301627,0.4665570094301627,2.303916099635888,0.4665570094301627,1.1501930680647117,0.5235263930533945,0.4665570094301627,1.4935264216636241,1.3633595523107382,0.2280495859788176,0.4665570094301627,0.4665570094301627,0.4937813404253101,0.8778365385358787,0.4665570094301627,0.489474095252959,0.4665570094301627,0.4665570094301627,0.5271909119504299,0.4665570094301627,0.489474095252959,0.4665570094301627,0.4665570094301627,0.4665570094301627,0.8778365385358787"
RandomForestRegressor,1.2930160188955486,1982,"0.6384583124154937,0.6384583124154937,1.0886294269252892,0.6384583124154937,1.751045404294678,1.0886294269252892,1.0886294269252892,0.6442879164927471,1.751045404294678,1.751045404294678,1.0886294269252892,0.6048037110791566,0.6382037112142604,1.751045404294678,0.6382037112142604,0.6926418432439985,0.3387470017066459,0.6382037112142604,1.476600018101079,1.2882930322611388,0.3196626333045399,0.6382037112142604,0.6382037112142604,0.4919766269575536,0.6580249839906027,0.6382037112142604,0.6382037112142604,0.6382037112142604,0.6382037112142604,0.629731488420827,0.6510370446199708,0.6382037112142604,0.6382037112142604,0.6382037112142604,0.6048037110791566,0.6580249839906027"
SparkXGBRegressor,1.1920132601480984,1982,"1.6294535398483276,1.6294535398483276,0.9750599265098572,1.2838801145553589,2.2903289794921875,0.9750599265098572,0.9750599265098572,0.495071142911911,2.2903289794921875,2.2903289794921875,0.9750599265098572,0.38755181431770325,0.4419797956943512,2.2903289794921875,0.4419797956943512,1.210456371307373,0.49022048711776733,0.4419797956943512,1.4751455783843994,1.349000096321106,0.20216864347457886,0.4419797956943512,0.4419797956943512,0.37583014369010925,0.8981884121894836,0.4419797956943512,0.5638594031333923,0.39197587966918945,0.4419797956943512,0.5691827535629272,0.49376076459884644,0.5638594031333923,0.4419797956943512,0.4419797956943512,0.38755181431770325,0.8981884121894836"
