model,rmse,year,predictions_str
LinearRegression,4.347698504468681,1990,"5.578271708629111,5.608442356751226,5.507601112703751,3.2150018898012878,3.088163118223225,1.129803708860667,-0.2891499630387018,0.12140927147140079,3.2663218860532353,0.18625825015002828,1.9865880609359778,1.9865880609359778,7.749675738716274,3.8541859968404975,2.321600580514744,0.18036719854969618"
RidgeRegression,4.32916995554733,1990,"5.47165324532369,5.215320019558531,5.5436777951358795,3.1779534233518096,3.125219438888241,1.152662561676698,-0.14566598689878063,0.21889323994616783,3.281175388524235,0.28152205794377405,2.03357320374959,2.03357320374959,7.353386193875411,3.8555797456415433,2.471371214597452,0.3333050402805715"
lassoRegression,4.327361500119788,1990,"5.018828963138672,4.217222148820608,5.699943595111897,1.2000555079554407,4.136099668776147,0.8511935103613929,0.8511935103613929,0.8511935103613929,3.7402386713295512,0.9985686488394393,1.800175463157503,1.800175463157503,5.781066075156357,4.217222148820608,2.0854290976841323,0.5215851713483831"
DecisionTreeRegressor,3.99807793146257,1990,"18.139999389648438,2.617272772572257,9.705000102519989,3.2149999141693115,9.705000102519989,0.4097674424045308,1.1333333302289248,0.4097674424045308,2.617272772572257,1.1333333302289248,1.1333333302289248,1.1333333302289248,9.705000102519989,9.705000102519989,0.21624999586492777,1.9699999690055847"
GBTRegressor,4.5030327302772735,1990,"18.175362847890344,2.630164181390348,11.786184624479954,3.2336398887890714,9.593034871678801,0.4226588512226215,1.1462247390470155,0.5802551170492681,2.630164181390348,1.0192723417317147,1.326293054297476,1.326293054297476,11.786184624479954,9.717891511338081,0.21624999586492777,1.9828913778236754"
RandomForestRegressor,3.9418702280076134,1990,"6.407606762506893,3.3609818608364312,5.57743605576592,2.8331027019647856,3.2832112416153776,1.163185010709402,1.6171481394399208,1.0753857607925847,2.61098837996673,1.3958169020688,1.4725701510011184,1.4725701510011184,6.187150332215941,3.4560857022846845,1.909769281068904,1.8369769177326254"
SparkXGBRegressor,5.258927003272711,1990,"16.3333740234375,2.6948130130767822,12.540764808654785,3.2119698524475098,12.22282600402832,0.412387877702713,1.1302815675735474,0.5738145112991333,2.6467642784118652,0.7986664175987244,1.2364188432693481,1.2364188432693481,12.50517749786377,11.523926734924316,0.6609198451042175,1.9627865552902222"
