model,rmse,year,predictions_str
LinearRegression,7.351790254601053,1989,"3.7622889986959143,4.694170813813384,3.7622889986959143,1.9713136429961287,2.915336316993148,2.915336316993148,3.7622889986959143,2.256141475710143,2.915336316993148,2.6203088958204708,4.65054886932434,-0.026142447991848616,1.7668870623019028,1.2014489950280487,0.5836496533853066,0.9679695288160222,2.4072051191313646"
RidgeRegression,7.399721660804382,1989,"3.582846081016983,4.517367733680466,3.582846081016983,1.9741259829978708,2.8193850580320685,2.8193850580320685,3.582846081016983,2.3146173811349637,2.8193850580320685,2.567978746501539,4.437200155511443,0.009177383884589885,1.7104437108334078,1.3170805310450429,0.5814716183963786,0.9516125175731058,2.376398684760928"
lassoRegression,7.461429789706472,1989,"3.502871568262871,4.30702598385124,3.502871568262871,1.0171161203385972,3.502871568262871,3.502871568262871,3.502871568262871,1.821270535926966,3.502871568262871,3.502871568262871,4.070394527394022,0.7212708399082399,1.0171161203385972,1.821270535926966,0.7212708399082399,0.7212708399082399,1.0171161203385972"
DecisionTreeRegressor,8.081529383149402,1989,"2.6995000422000883,6.115384803368495,2.6995000422000883,1.149999976158142,2.6995000422000883,2.6995000422000883,2.6995000422000883,1.1263414591369105,2.6995000422000883,1.7950000762939453,14.789999723434448,1.1263414591369105,1.1263414591369105,1.1263414591369105,0.4083333339187361,1.1263414591369105,1.1263414591369105"
GBTRegressor,8.072962413480502,1989,"2.714284661397205,6.155129310019892,2.714284661397205,1.1647845953552585,2.640474565066149,2.640474565066149,2.714284661397205,1.153450024201028,2.640474565066149,1.7954447727464637,14.758734745589939,1.0195340414074245,1.2026795215457837,1.1660859657883083,0.4231179531158525,1.4116886951380343,1.141126078334027"
RandomForestRegressor,7.70271848619107,1989,"2.6549645818593497,4.818861066070534,2.6549645818593497,1.2190770141079272,2.150135271785909,2.150135271785909,2.6549645818593497,1.3957660836988146,2.150135271785909,2.355947918327887,8.172863819090443,1.1216385442264563,1.274385512639282,1.3531903323183276,0.4862937102509702,0.9531208759168674,1.3332738332086806"
SparkXGBRegressor,8.102581179498532,1989,"2.688589572906494,6.2437424659729,2.688589572906494,1.1263004541397095,2.710099458694458,2.710099458694458,2.688589572906494,0.8953114151954651,2.710099458694458,1.8688410520553589,14.845159530639648,0.6165360808372498,1.246475100517273,1.1243810653686523,0.39246147871017456,2.7551679611206055,1.1486971378326416"
